video,ds_idx,frame_t,iou,gt_area,pred_area,area_ratio,center_err,w_err,h_err,gt_ar,pred_ar,size_cat,err_type,gt_x1,gt_y1,gt_x2,gt_y2,pred_x1,pred_y1,pred_x2,pred_y2
lion_cub_1,2738,0,0.8724,0.130244,0.145398,1.116,0.0114,0.0143,0.0284,0.706,0.694,medium,good,0.2636,0.2686,0.5669,0.698,0.2678,0.2542,0.5854,0.7119
lion_cub_1,2738,1,0.7875,0.131981,0.167594,1.27,0.0165,0.04,0.0531,0.786,0.782,medium,good,0.2636,0.2765,0.5857,0.6863,0.26,0.252,0.6221,0.7148
lion_cub_1,2738,2,0.9183,0.156293,0.170199,1.089,0.0048,0.0122,0.023,0.848,0.832,large,good,0.279,0.2784,0.643,0.7078,0.2732,0.2717,0.6494,0.7241
lion_cub_1,2738,3,0.7569,0.144096,0.190383,1.321,0.0177,0.0676,0.0438,0.826,0.894,medium,good,0.2956,0.3,0.6406,0.7176,0.2656,0.2954,0.6782,0.7568
lion_cub_1,2738,4,0.6941,0.128667,0.185368,1.441,0.0047,0.0476,0.1015,0.828,0.755,medium,good,0.3243,0.3373,0.6507,0.7314,0.3052,0.2861,0.6792,0.7817
lion_cub_1,2739,0,0.7875,0.131981,0.167594,1.27,0.0165,0.04,0.0531,0.786,0.782,medium,good,0.2636,0.2765,0.5857,0.6863,0.26,0.252,0.6221,0.7148
lion_cub_1,2739,1,0.9183,0.156293,0.170199,1.089,0.0048,0.0122,0.023,0.848,0.832,large,good,0.279,0.2784,0.643,0.7078,0.2732,0.2717,0.6494,0.7241
lion_cub_1,2739,2,0.7569,0.144096,0.190383,1.321,0.0177,0.0676,0.0438,0.826,0.894,medium,good,0.2956,0.3,0.6406,0.7176,0.2656,0.2954,0.6782,0.7568
lion_cub_1,2739,3,0.6945,0.128667,0.185277,1.44,0.0047,0.0476,0.1012,0.828,0.755,medium,good,0.3243,0.3373,0.6507,0.7314,0.3052,0.2864,0.6792,0.7817
lion_cub_1,2739,4,0.6983,0.117485,0.168255,1.432,0.0157,0.0415,0.1022,0.727,0.662,medium,good,0.3662,0.3569,0.6585,0.7588,0.342,0.321,0.6758,0.8252
lion_cub_1,2740,0,0.9176,0.156293,0.170328,1.09,0.0049,0.0127,0.0227,0.848,0.833,large,good,0.279,0.2784,0.643,0.7078,0.2732,0.272,0.6499,0.7241
lion_cub_1,2740,1,0.7569,0.144096,0.190383,1.321,0.0177,0.0676,0.0438,0.826,0.894,medium,good,0.2956,0.3,0.6406,0.7176,0.2656,0.2954,0.6782,0.7568
lion_cub_1,2740,2,0.6945,0.128667,0.185277,1.44,0.0047,0.0476,0.1012,0.828,0.755,medium,good,0.3243,0.3373,0.6507,0.7314,0.3052,0.2864,0.6792,0.7817
lion_cub_1,2740,3,0.6983,0.117485,0.168255,1.432,0.0157,0.0415,0.1022,0.727,0.662,medium,good,0.3662,0.3569,0.6585,0.7588,0.342,0.321,0.6758,0.8252
lion_cub_1,2740,4,0.832,0.111929,0.134531,1.202,0.0095,0.0184,0.0534,0.56,0.537,medium,good,0.3893,0.3745,0.6397,0.8216,0.3816,0.3384,0.6504,0.8389
lion_cub_1,2741,0,0.7569,0.144096,0.190383,1.321,0.0177,0.0676,0.0438,0.826,0.894,medium,good,0.2956,0.3,0.6406,0.7176,0.2656,0.2954,0.6782,0.7568
lion_cub_1,2741,1,0.6945,0.128667,0.185277,1.44,0.0047,0.0476,0.1012,0.828,0.755,medium,good,0.3243,0.3373,0.6507,0.7314,0.3052,0.2864,0.6792,0.7817
lion_cub_1,2741,2,0.6983,0.117485,0.168255,1.432,0.0157,0.0415,0.1022,0.727,0.662,medium,good,0.3662,0.3569,0.6585,0.7588,0.342,0.321,0.6758,0.8252
lion_cub_1,2741,3,0.832,0.111929,0.134531,1.202,0.0095,0.0184,0.0534,0.56,0.537,medium,good,0.3893,0.3745,0.6397,0.8216,0.3816,0.3384,0.6504,0.8389
lion_cub_1,2741,4,0.7683,0.087682,0.11413,1.302,0.0043,0.0299,0.0581,0.455,0.461,medium,good,0.396,0.3647,0.5956,0.8039,0.3779,0.3386,0.6074,0.8359
lion_cub_1,2742,0,0.6945,0.128667,0.185277,1.44,0.0047,0.0476,0.1012,0.828,0.755,medium,good,0.3243,0.3373,0.6507,0.7314,0.3052,0.2864,0.6792,0.7817
lion_cub_1,2742,1,0.6983,0.117485,0.168255,1.432,0.0157,0.0415,0.1022,0.727,0.662,medium,good,0.3662,0.3569,0.6585,0.7588,0.342,0.321,0.6758,0.8252
lion_cub_1,2742,2,0.832,0.111929,0.134531,1.202,0.0095,0.0184,0.0534,0.56,0.537,medium,good,0.3893,0.3745,0.6397,0.8216,0.3816,0.3384,0.6504,0.8389
lion_cub_1,2742,3,0.7683,0.087682,0.11413,1.302,0.0043,0.0299,0.0581,0.455,0.461,medium,good,0.396,0.3647,0.5956,0.8039,0.3779,0.3386,0.6074,0.8359
lion_cub_1,2742,4,0.7302,0.072999,0.099966,1.369,0.0158,0.0361,0.0562,0.411,0.438,medium,good,0.3893,0.382,0.5625,0.8036,0.3865,0.3582,0.5957,0.8359
lion_cub_1,2743,0,0.6983,0.117485,0.168255,1.432,0.0157,0.0415,0.1022,0.727,0.662,medium,good,0.3662,0.3569,0.6585,0.7588,0.342,0.321,0.6758,0.8252
lion_cub_1,2743,1,0.832,0.111929,0.134531,1.202,0.0095,0.0184,0.0534,0.56,0.537,medium,good,0.3893,0.3745,0.6397,0.8216,0.3816,0.3384,0.6504,0.8389
lion_cub_1,2743,2,0.7683,0.087682,0.11413,1.302,0.0043,0.0299,0.0581,0.455,0.461,medium,good,0.396,0.3647,0.5956,0.8039,0.3779,0.3386,0.6074,0.8359
lion_cub_1,2743,3,0.7302,0.072999,0.099966,1.369,0.0158,0.0361,0.0562,0.411,0.438,medium,good,0.3893,0.382,0.5625,0.8036,0.3865,0.3582,0.5957,0.8359
lion_cub_1,2743,4,0.8122,0.113622,0.136283,1.199,0.0221,0.0339,0.0263,0.579,0.618,medium,good,0.3604,0.3949,0.6167,0.8381,0.364,0.3899,0.6543,0.8594
lion_cub_1,2744,0,0.832,0.111929,0.134531,1.202,0.0095,0.0184,0.0534,0.56,0.537,medium,good,0.3893,0.3745,0.6397,0.8216,0.3816,0.3384,0.6504,0.8389
lion_cub_1,2744,1,0.7683,0.087682,0.11413,1.302,0.0043,0.0299,0.0581,0.455,0.461,medium,good,0.396,0.3647,0.5956,0.8039,0.3779,0.3386,0.6074,0.8359
lion_cub_1,2744,2,0.7302,0.072999,0.099966,1.369,0.0158,0.0361,0.0562,0.411,0.438,medium,good,0.3893,0.382,0.5625,0.8036,0.3865,0.3582,0.5957,0.8359
lion_cub_1,2744,3,0.8122,0.113622,0.136283,1.199,0.0221,0.0339,0.0263,0.579,0.618,medium,good,0.3604,0.3949,0.6167,0.8381,0.364,0.3899,0.6543,0.8594
lion_cub_1,2744,4,0.8313,0.101458,0.113471,1.118,0.0201,0.0206,0.0121,0.539,0.57,medium,good,0.3836,0.4018,0.6174,0.8358,0.3926,0.4016,0.647,0.8477
lion_cub_1,2745,0,0.7683,0.087682,0.11413,1.302,0.0043,0.0299,0.0581,0.455,0.461,medium,good,0.396,0.3647,0.5956,0.8039,0.3779,0.3386,0.6074,0.8359
lion_cub_1,2745,1,0.7302,0.072999,0.099966,1.369,0.0158,0.0361,0.0562,0.411,0.438,medium,good,0.3893,0.382,0.5625,0.8036,0.3865,0.3582,0.5957,0.8359
