video,n_frames,mIoU,r05,n_bad,top_error
flatfish_2,80,0.1195,0.0,80,pred_too_small
white_tailed_ptarmigan,125,0.1587,0.0,125,center_shift
pygmy_seahorse_0,80,0.1645,0.0,80,pred_too_large
arctic_fox_3,150,0.4236,0.3333,100,pred_too_large
pygmy_seahorse_1,200,0.4293,0.215,157,scale_mismatch
stick_insect_1,175,0.6617,0.9257,13,scale_mismatch
crab,30,0.6627,1.0,0,none
flower_crab_spider_2,125,0.6881,1.0,0,none
grasshopper_1,460,0.7027,0.9891,5,scale_mismatch
scorpionfish_1,125,0.7279,1.0,0,none
hyena,80,0.7281,0.9875,1,center_shift
snow_leopard_2,270,0.7331,1.0,0,none
snow_leopard_3,95,0.7337,0.9895,1,pred_too_large
scorpionfish_5,55,0.741,1.0,0,none
lion_cub_0,200,0.749,1.0,0,none
cuttlefish_5,55,0.7507,1.0,0,none
copperhead_snake,390,0.7675,0.9744,10,scale_mismatch
egyptian_nightjar,270,0.7679,1.0,0,none
scorpionfish_4,100,0.7723,1.0,0,none
stick_insect_0,220,0.7832,1.0,0,none
spider_tailed_horned_viper_3,80,0.7849,1.0,0,none
lion_cub_1,365,0.7907,1.0,0,none
flounder_9,100,0.7978,1.0,0,none
orchid_mantis,200,0.8091,1.0,0,none
eastern_screech_owl_1,560,0.8603,1.0,0,none
lichen_katydid,1280,0.8635,1.0,0,none
seal_1,55,0.9033,1.0,0,none
shrimp,30,0.9139,1.0,0,none
